crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
98,2018-06-09 19:59:00,2018-06-09,-1.274917,36.823408,1,0,0,0,0,19,6,2018,Saturday,Non-Fatal,Other
99,2018-06-09 20:15:00,2018-06-09,-1.307371,36.889824,1,0,1,0,0,20,6,2018,Saturday,Non-Fatal,Pedestrian
100,2018-06-09 20:36:00,2018-06-09,-1.3228495,36.8990795,1,0,0,0,0,20,6,2018,Saturday,Non-Fatal,Other
101,2018-06-09 22:34:00,2018-06-09,-1.259203,36.842383,1,0,0,0,0,22,6,2018,Saturday,Non-Fatal,Other
102,2018-06-10 02:34:00,2018-06-10,-1.1711185,36.9725295,1,1,0,0,0,2,6,2018,Sunday,Fatal,Other
103,2018-06-10 12:21:00,2018-06-10,-1.300044,36.7872145,1,0,1,0,0,12,6,2018,Sunday,Non-Fatal,Pedestrian
104,2018-06-10 18:02:00,2018-06-10,-1.206032,36.914291,1,0,0,0,0,18,6,2018,Sunday,Non-Fatal,Other
105,2018-06-10 18:10:00,2018-06-10,-1.210347,36.90942,1,0,0,0,0,18,6,2018,Sunday,Non-Fatal,Other
106,2018-06-10 18:24:00,2018-06-10,-1.215691,36.895632,1,0,0,0,0,18,6,2018,Sunday,Non-Fatal,Other
107,2018-06-10 18:59:00,2018-06-10,-1.131297,36.982169,1,0,0,0,0,18,6,2018,Sunday,Non-Fatal,Other
108,2018-06-11 09:12:00,2018-06-11,-1.259459,36.844829,1,0,1,0,0,9,6,2018,Monday,Non-Fatal,Pedestrian
109,2018-06-11 14:35:00,2018-06-11,-1.2967465,36.8760185,1,0,0,1,1,14,6,2018,Monday,Non-Fatal,Motorcycle
110,2018-06-11 18:48:00,2018-06-11,-1.259999,36.895915,1,0,0,0,0,18,6,2018,Monday,Non-Fatal,Other
111,2018-06-12 07:35:00,2018-06-12,-1.263123,36.838843,1,0,0,0,0,7,6,2018,Tuesday,Non-Fatal,Other
112,2018-06-12 08:06:00,2018-06-12,-1.299826,36.824192,1,0,0,0,0,8,6,2018,Tuesday,Non-Fatal,Other
113,2018-06-12 14:38:00,2018-06-12,-1.297632,36.869754,1,0,0,0,1,14,6,2018,Tuesday,Non-Fatal,Motorcycle
114,2018-06-12 18:47:00,2018-06-12,-1.2515222,36.93756,1,0,0,0,0,18,6,2018,Tuesday,Non-Fatal,Other
115,2018-06-12 19:24:00,2018-06-12,-1.292918,36.820308,1,0,0,0,0,19,6,2018,Tuesday,Non-Fatal,Other
116,2018-06-12 20:43:00,2018-06-12,-1.177645,36.915433,1,0,0,0,0,20,6,2018,Tuesday,Non-Fatal,Other
117,2018-06-13 06:06:00,2018-06-13,-1.285249,36.819619,1,0,0,0,0,6,6,2018,Wednesday,Non-Fatal,Other
118,2018-06-13 06:32:00,2018-06-13,-1.3291645,36.870969,1,0,0,1,0,6,6,2018,Wednesday,Non-Fatal,Matatu
119,2018-06-13 06:36:00,2018-06-13,-1.20004,36.920365,1,0,0,0,0,6,6,2018,Wednesday,Non-Fatal,Other
120,2018-06-13 15:44:00,2018-06-13,-1.32681,36.852673,1,0,0,0,1,15,6,2018,Wednesday,Non-Fatal,Motorcycle
121,2018-06-13 16:47:00,2018-06-13,-1.1217925,37.0067835,1,0,0,0,0,16,6,2018,Wednesday,Non-Fatal,Other
122,2018-06-13 17:22:00,2018-06-13,-1.130442,36.982174,1,0,0,0,0,17,6,2018,Wednesday,Non-Fatal,Other
123,2018-06-13 19:43:00,2018-06-13,-1.2854,36.828469,1,0,0,0,0,19,6,2018,Wednesday,Non-Fatal,Other
124,2018-06-13 19:44:00,2018-06-13,-1.244617,36.867234,1,0,0,0,0,19,6,2018,Wednesday,Non-Fatal,Other
125,2018-06-14 06:59:00,2018-06-14,-1.2893585,36.785387,1,0,0,0,0,6,6,2018,Thursday,Non-Fatal,Other
126,2018-06-14 08:55:00,2018-06-14,-1.2942895,36.8506075,1,1,0,0,0,8,6,2018,Thursday,Fatal,Other
127,2018-06-14 09:50:00,2018-06-14,-0.792679,36.52482,1,0,0,0,0,9,6,2018,Thursday,Non-Fatal,Other
128,2018-06-14 10:32:00,2018-06-14,-1.2925405,36.789615,1,0,0,0,0,10,6,2018,Thursday,Non-Fatal,Other
129,2018-06-14 14:58:00,2018-06-14,-1.2261085,36.8831795,1,0,0,0,0,14,6,2018,Thursday,Non-Fatal,Other
130,2018-06-14 16:40:00,2018-06-14,-1.291011,36.82333,1,0,0,0,0,16,6,2018,Thursday,Non-Fatal,Other
131,2018-06-14 17:50:00,2018-06-14,-1.248458,36.8633035,1,0,0,0,0,17,6,2018,Thursday,Non-Fatal,Other
132,2018-06-15 19:51:00,2018-06-15,-1.234399,36.99005,1,0,0,0,0,19,6,2018,Friday,Non-Fatal,Other
133,2018-06-17 09:34:00,2018-06-17,-1.3193655,36.838268,1,0,0,0,0,9,6,2018,Sunday,Non-Fatal,Other
134,2018-06-17 23:27:00,2018-06-17,-1.296765,36.876709,1,0,0,0,1,23,6,2018,Sunday,Non-Fatal,Motorcycle
135,2018-06-19 16:45:00,2018-06-19,-1.3042055,36.839078,1,0,0,0,1,16,6,2018,Tuesday,Non-Fatal,Motorcycle
136,2018-06-19 17:17:00,2018-06-19,-1.204089,36.9165105,1,0,0,0,0,17,6,2018,Tuesday,Non-Fatal,Other
137,2018-06-19 18:08:00,2018-06-19,-1.266943,36.809149,1,0,0,0,0,18,6,2018,Tuesday,Non-Fatal,Other
138,2018-06-19 19:36:00,2018-06-19,-1.172129,36.947516,1,0,0,0,0,19,6,2018,Tuesday,Non-Fatal,Other
139,2018-06-19 20:10:00,2018-06-19,-1.181013,36.9382305,1,0,1,0,0,20,6,2018,Tuesday,Non-Fatal,Pedestrian
140,2018-06-20 07:34:00,2018-06-20,-1.295375,36.8864,1,0,0,0,0,7,6,2018,Wednesday,Non-Fatal,Other
141,2018-06-20 07:47:00,2018-06-20,-1.269846,36.807199,1,0,0,0,0,7,6,2018,Wednesday,Non-Fatal,Other
142,2018-06-20 10:45:00,2018-06-20,-1.326041,36.7937735,1,0,0,0,0,10,6,2018,Wednesday,Non-Fatal,Other
143,2018-06-20 16:04:00,2018-06-20,-1.372631,36.9215365,1,0,0,0,0,16,6,2018,Wednesday,Non-Fatal,Other
144,2018-06-20 19:21:00,2018-06-20,-1.2861805,36.8338935,1,0,0,1,0,19,6,2018,Wednesday,Non-Fatal,Matatu
145,2018-06-20 19:40:00,2018-06-20,-1.204089,36.9165105,1,0,0,0,0,19,6,2018,Wednesday,Non-Fatal,Other
146,2018-06-21 06:14:00,2018-06-21,-1.295375,36.8864,1,0,0,0,0,6,6,2018,Thursday,Non-Fatal,Other
147,2018-06-21 06:25:00,2018-06-21,-1.252702,36.8592995,1,0,0,0,0,6,6,2018,Thursday,Non-Fatal,Other
148,2018-06-21 07:18:00,2018-06-21,-1.248045,36.8640365,1,0,0,0,0,7,6,2018,Thursday,Non-Fatal,Other
149,2018-06-21 07:40:00,2018-06-21,-1.244371,36.8669365,1,0,0,0,0,7,6,2018,Thursday,Non-Fatal,Other
150,2018-06-21 09:22:00,2018-06-21,-1.283389,36.823544,1,0,0,0,0,9,6,2018,Thursday,Non-Fatal,Other
151,2018-06-21 15:55:00,2018-06-21,-1.105047,36.630144,1,0,0,0,0,15,6,2018,Thursday,Non-Fatal,Other
152,2018-06-21 19:52:00,2018-06-21,-1.107324,37.015486,1,0,0,0,0,19,6,2018,Thursday,Non-Fatal,Other
153,2018-06-22 06:15:00,2018-06-22,-1.2594055,36.844797,1,0,0,0,0,6,6,2018,Friday,Non-Fatal,Other
154,2018-06-22 07:39:00,2018-06-22,-1.3194825,36.897537,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
155,2018-06-22 10:43:00,2018-06-22,-1.3315735,36.888197,1,0,0,0,0,10,6,2018,Friday,Non-Fatal,Other
156,2018-06-22 12:52:00,2018-06-22,-1.04122,37.071924,1,0,0,0,0,12,6,2018,Friday,Non-Fatal,Other
157,2018-06-23 06:30:00,2018-06-23,-1.297096,36.875273,1,0,0,0,0,6,6,2018,Saturday,Non-Fatal,Other
158,2018-06-23 20:25:00,2018-06-23,-1.324893,36.846924,1,0,0,0,0,20,6,2018,Saturday,Non-Fatal,Other
159,2018-06-23 20:27:00,2018-06-23,-1.024323,37.0670515,1,0,0,0,0,20,6,2018,Saturday,Non-Fatal,Other
160,2018-06-24 01:25:00,2018-06-24,-1.304873,36.826523,1,0,0,0,0,1,6,2018,Sunday,Non-Fatal,Other
161,2018-06-24 01:48:00,2018-06-24,-1.024323,37.0670515,1,0,0,0,0,1,6,2018,Sunday,Non-Fatal,Other
162,2018-06-24 12:28:00,2018-06-24,-1.024331,37.067045,1,0,0,0,0,12,6,2018,Sunday,Non-Fatal,Other
163,2018-06-24 13:20:00,2018-06-24,-1.2326965,36.874799,1,0,0,0,0,13,6,2018,Sunday,Non-Fatal,Other
164,2018-06-24 17:49:00,2018-06-24,-1.204543,36.916238,1,0,0,0,0,17,6,2018,Sunday,Non-Fatal,Other
165,2018-06-25 06:46:00,2018-06-25,-4.030708,39.640127,1,0,0,1,0,6,6,2018,Monday,Non-Fatal,Matatu
166,2018-06-25 09:24:00,2018-06-25,-1.2205955,36.8887205,1,0,0,0,0,9,6,2018,Monday,Non-Fatal,Other
