crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
306,7/27/2018 18:01,7/27/2018,-1.2917857,36.8406529,1,0,0,1,0
307,7/27/2018 18:36,7/27/2018,-1.1819149,36.9376677,1,0,0,0,0
308,7/27/2018 18:54,7/27/2018,-1.2893,36.949665,1,0,0,0,0
309,7/27/2018 22:29,7/27/2018,-1.3311921,36.8885687,1,0,0,0,0
310,7/28/2018 4:19,7/28/2018,-1.279215,36.967267,1,0,0,0,0
311,7/28/2018 5:37,7/28/2018,-1.329762,36.855566,1,0,0,0,0
312,7/28/2018 9:52,7/28/2018,-1.295163,36.855671,1,0,0,0,0
313,7/28/2018 17:20,7/28/2018,-1.295155,36.855581,1,0,0,0,0
314,7/28/2018 19:18,7/28/2018,-1.212906,36.893316,1,0,0,0,0
315,7/28/2018 19:39,7/28/2018,-1.330524,36.866639,1,0,0,0,0
316,7/29/2018 10:53,7/29/2018,-1.281182,36.822749,1,1,1,1,0
317,7/29/2018 11:56,7/29/2018,-1.277131,36.806491,1,0,0,0,0
318,7/29/2018 17:48,7/29/2018,-1.479244836,37.04201588,1,0,0,0,0
319,7/29/2018 19:12,7/29/2018,-1.490968,37.056855,1,1,0,0,1
320,7/30/2018 12:21,7/30/2018,-1.389817,36.936968,1,0,0,0,0
321,7/30/2018 12:33,7/30/2018,-1.259482,36.844861,1,0,0,0,0
322,7/30/2018 17:02,7/30/2018,-1.2812652,36.8227376,1,0,0,1,0
323,7/30/2018 17:47,7/30/2018,-1.326557,36.845265,1,0,0,0,0
324,7/31/2018 13:23,7/31/2018,-1.325446,36.848511,1,0,0,0,0
325,7/31/2018 13:25,7/31/2018,-1.31962444,36.83837121,1,0,0,0,0
326,7/31/2018 17:46,7/31/2018,-1.26298,36.764443,1,0,0,0,0
327,7/31/2018 20:55,7/31/2018,-1.28961942,36.76156013,1,0,0,0,0
328,12/30/2017 16:19,12/30/2017,-1.244991,36.86694635,1,0,0,0,0
329,12/30/2017 14:00,12/30/2017,-1.304881,36.82655,1,0,0,0,0
