crash_id,crash_datetime,crash_date,hour,month,year,day_of_week,latitude,longitude,severity,contains_fatality_words,contains_pedestrian_words,contains_motorcycle_words,contains_matatu_words,road_user_type,n_crash_reports
121,2018-06-13 16:47:00,2018-06-13,16,6,2018,Wednesday,-1.1217925,37.0067835,Non-Fatal,0,0,0,0,Other,1
122,2018-06-13 17:22:00,2018-06-13,17,6,2018,Wednesday,-1.130442,36.982174,Non-Fatal,0,0,0,0,Other,1
123,2018-06-13 19:43:00,2018-06-13,19,6,2018,Wednesday,-1.2854,36.828469,Non-Fatal,0,0,0,0,Other,1
124,2018-06-13 19:44:00,2018-06-13,19,6,2018,Wednesday,-1.244617,36.867234,Non-Fatal,0,0,0,0,Other,1
125,2018-06-14 06:59:00,2018-06-14,6,6,2018,Thursday,-1.2893585,36.785387,Non-Fatal,0,0,0,0,Other,1
126,2018-06-14 08:55:00,2018-06-14,8,6,2018,Thursday,-1.2942895,36.8506075,Fatal,1,0,0,0,Other,1
127,2018-06-14 09:50:00,2018-06-14,9,6,2018,Thursday,-0.792679,36.52482,Non-Fatal,0,0,0,0,Other,1
128,2018-06-14 10:32:00,2018-06-14,10,6,2018,Thursday,-1.2925405,36.789615,Non-Fatal,0,0,0,0,Other,1
129,2018-06-14 14:58:00,2018-06-14,14,6,2018,Thursday,-1.2261085,36.8831795,Non-Fatal,0,0,0,0,Other,1
130,2018-06-14 16:40:00,2018-06-14,16,6,2018,Thursday,-1.291011,36.82333,Non-Fatal,0,0,0,0,Other,1
131,2018-06-14 17:50:00,2018-06-14,17,6,2018,Thursday,-1.248458,36.8633035,Non-Fatal,0,0,0,0,Other,1
132,2018-06-15 19:51:00,2018-06-15,19,6,2018,Friday,-1.234399,36.99005,Non-Fatal,0,0,0,0,Other,1
133,2018-06-17 09:34:00,2018-06-17,9,6,2018,Sunday,-1.3193655,36.838268,Non-Fatal,0,0,0,0,Other,1
134,2018-06-17 23:27:00,2018-06-17,23,6,2018,Sunday,-1.296765,36.876709,Non-Fatal,0,0,1,0,Motorcycle,1
135,2018-06-19 16:45:00,2018-06-19,16,6,2018,Tuesday,-1.3042055,36.839078,Non-Fatal,0,0,1,0,Motorcycle,1
136,2018-06-19 17:17:00,2018-06-19,17,6,2018,Tuesday,-1.204089,36.9165105,Non-Fatal,0,0,0,0,Other,1
137,2018-06-19 18:08:00,2018-06-19,18,6,2018,Tuesday,-1.266943,36.809149,Non-Fatal,0,0,0,0,Other,1
138,2018-06-19 19:36:00,2018-06-19,19,6,2018,Tuesday,-1.172129,36.947516,Non-Fatal,0,0,0,0,Other,1
139,2018-06-19 20:10:00,2018-06-19,20,6,2018,Tuesday,-1.181013,36.9382305,Non-Fatal,0,1,0,0,Pedestrian,1
140,2018-06-20 07:34:00,2018-06-20,7,6,2018,Wednesday,-1.295375,36.8864,Non-Fatal,0,0,0,0,Other,1
141,2018-06-20 07:47:00,2018-06-20,7,6,2018,Wednesday,-1.269846,36.807199,Non-Fatal,0,0,0,0,Other,1
142,2018-06-20 10:45:00,2018-06-20,10,6,2018,Wednesday,-1.326041,36.7937735,Non-Fatal,0,0,0,0,Other,1
143,2018-06-20 16:04:00,2018-06-20,16,6,2018,Wednesday,-1.372631,36.9215365,Non-Fatal,0,0,0,0,Other,1
144,2018-06-20 19:21:00,2018-06-20,19,6,2018,Wednesday,-1.2861805,36.8338935,Non-Fatal,0,0,0,1,Matatu,1
145,2018-06-20 19:40:00,2018-06-20,19,6,2018,Wednesday,-1.204089,36.9165105,Non-Fatal,0,0,0,0,Other,1
146,2018-06-21 06:14:00,2018-06-21,6,6,2018,Thursday,-1.295375,36.8864,Non-Fatal,0,0,0,0,Other,1
147,2018-06-21 06:25:00,2018-06-21,6,6,2018,Thursday,-1.252702,36.8592995,Non-Fatal,0,0,0,0,Other,1
148,2018-06-21 07:18:00,2018-06-21,7,6,2018,Thursday,-1.248045,36.8640365,Non-Fatal,0,0,0,0,Other,1
149,2018-06-21 07:40:00,2018-06-21,7,6,2018,Thursday,-1.244371,36.8669365,Non-Fatal,0,0,0,0,Other,1
150,2018-06-21 09:22:00,2018-06-21,9,6,2018,Thursday,-1.283389,36.823544,Non-Fatal,0,0,0,0,Other,1
151,2018-06-21 15:55:00,2018-06-21,15,6,2018,Thursday,-1.105047,36.630144,Non-Fatal,0,0,0,0,Other,1
152,2018-06-21 19:52:00,2018-06-21,19,6,2018,Thursday,-1.107324,37.015486,Non-Fatal,0,0,0,0,Other,1
153,2018-06-22 06:15:00,2018-06-22,6,6,2018,Friday,-1.2594055,36.844797,Non-Fatal,0,0,0,0,Other,1
154,2018-06-22 07:39:00,2018-06-22,7,6,2018,Friday,-1.3194825,36.897537,Non-Fatal,0,0,0,0,Other,1
155,2018-06-22 10:43:00,2018-06-22,10,6,2018,Friday,-1.3315735,36.888197,Non-Fatal,0,0,0,0,Other,1
156,2018-06-22 12:52:00,2018-06-22,12,6,2018,Friday,-1.04122,37.071924,Non-Fatal,0,0,0,0,Other,1
157,2018-06-23 06:30:00,2018-06-23,6,6,2018,Saturday,-1.297096,36.875273,Non-Fatal,0,0,0,0,Other,1
158,2018-06-23 20:25:00,2018-06-23,20,6,2018,Saturday,-1.324893,36.846924,Non-Fatal,0,0,0,0,Other,1
159,2018-06-23 20:27:00,2018-06-23,20,6,2018,Saturday,-1.024323,37.0670515,Non-Fatal,0,0,0,0,Other,1
160,2018-06-24 01:25:00,2018-06-24,1,6,2018,Sunday,-1.304873,36.826523,Non-Fatal,0,0,0,0,Other,1
161,2018-06-24 01:48:00,2018-06-24,1,6,2018,Sunday,-1.024323,37.0670515,Non-Fatal,0,0,0,0,Other,1
162,2018-06-24 12:28:00,2018-06-24,12,6,2018,Sunday,-1.024331,37.067045,Non-Fatal,0,0,0,0,Other,1
163,2018-06-24 13:20:00,2018-06-24,13,6,2018,Sunday,-1.2326965,36.874799,Non-Fatal,0,0,0,0,Other,1
164,2018-06-24 17:49:00,2018-06-24,17,6,2018,Sunday,-1.204543,36.916238,Non-Fatal,0,0,0,0,Other,1
165,2018-06-25 06:46:00,2018-06-25,6,6,2018,Monday,-4.030708,39.640127,Non-Fatal,0,0,0,1,Matatu,1
166,2018-06-25 09:24:00,2018-06-25,9,6,2018,Monday,-1.2205955,36.8887205,Non-Fatal,0,0,0,0,Other,1
167,2018-06-25 11:38:00,2018-06-25,11,6,2018,Monday,-4.029915,39.632612,Non-Fatal,0,0,0,1,Matatu,1
168,2018-06-25 16:19:00,2018-06-25,16,6,2018,Monday,-1.132897,36.6349645,Non-Fatal,0,0,0,0,Other,1
169,2018-06-25 18:52:00,2018-06-25,18,6,2018,Monday,-1.3194545,36.8382225,Non-Fatal,0,0,0,0,Other,1
170,2018-06-25 19:00:00,2018-06-25,19,6,2018,Monday,-1.2594055,36.844797,Non-Fatal,0,0,0,0,Other,1
171,2018-06-27 08:24:00,2018-06-27,8,6,2018,Wednesday,-1.040628,36.823518,Non-Fatal,0,0,0,0,Other,1
172,2018-06-27 09:39:00,2018-06-27,9,6,2018,Wednesday,-3.793191,39.38432,Non-Fatal,0,0,0,0,Other,1
173,2018-06-27 13:14:00,2018-06-27,13,6,2018,Wednesday,-1.238104,36.8439875,Non-Fatal,0,0,0,0,Other,1
174,2018-06-27 13:20:00,2018-06-27,13,6,2018,Wednesday,-1.2948505,36.787387,Non-Fatal,0,0,0,0,Other,1
175,2018-06-28 16:57:00,2018-06-28,16,6,2018,Thursday,-1.2610945,36.841869,Non-Fatal,0,0,0,0,Other,1
176,2018-06-28 17:03:00,2018-06-28,17,6,2018,Thursday,-1.2848035,36.8204285,Non-Fatal,0,0,0,0,Other,1
177,2018-06-28 19:09:00,2018-06-28,19,6,2018,Thursday,-1.263175,36.758835,Non-Fatal,0,0,0,1,Matatu,1
178,2018-06-29 07:07:00,2018-06-29,7,6,2018,Friday,-1.2058225,36.8320265,Non-Fatal,0,0,0,0,Other,1
179,2018-06-29 07:46:00,2018-06-29,7,6,2018,Friday,-1.269846,36.807199,Non-Fatal,0,0,0,0,Other,1
180,2018-06-29 12:35:00,2018-06-29,12,6,2018,Friday,-1.3328455,36.7816645,Non-Fatal,0,0,1,0,Motorcycle,1
181,2018-06-29 18:03:00,2018-06-29,18,6,2018,Friday,-1.263873,36.7494195,Non-Fatal,0,0,0,0,Other,1
182,2018-06-30 06:56:00,2018-06-30,6,6,2018,Saturday,-1.372794,36.92026,Non-Fatal,0,0,0,0,Other,1
183,2018-06-30 08:23:00,2018-06-30,8,6,2018,Saturday,-1.205315,36.778044,Non-Fatal,0,0,0,0,Other,1
184,2018-06-30 09:08:00,2018-06-30,9,6,2018,Saturday,-1.2184465,36.892509,Non-Fatal,0,0,0,0,Other,1
185,2018-06-30 09:25:00,2018-06-30,9,6,2018,Saturday,-1.2263555,36.883683,Non-Fatal,0,0,0,0,Other,1
186,2018-06-30 10:03:00,2018-06-30,10,6,2018,Saturday,-1.037827,37.0636,Non-Fatal,0,0,0,0,Other,1
187,2018-06-30 10:17:00,2018-06-30,10,6,2018,Saturday,-1.201342,36.908912,Non-Fatal,0,0,0,0,Other,1
188,2018-06-30 11:10:00,2018-06-30,11,6,2018,Saturday,-1.2488345,36.86568,Non-Fatal,0,0,0,0,Other,1
189,2018-06-30 13:37:00,2018-06-30,13,6,2018,Saturday,-1.291326,36.824422,Non-Fatal,0,0,0,0,Other,1
190,2018-06-30 15:12:00,2018-06-30,15,6,2018,Saturday,-1.2184465,36.892509,Non-Fatal,0,0,0,0,Other,1
191,2018-06-30 16:07:00,2018-06-30,16,6,2018,Saturday,-1.210902,36.907413,Non-Fatal,0,0,0,0,Other,1
192,2018-07-01 07:18:00,2018-07-01,7,7,2018,Sunday,-1.259024,36.778396,Non-Fatal,0,0,0,0,Other,1
193,2018-07-01 17:58:00,2018-07-01,17,7,2018,Sunday,-1.259304,36.7858145,Non-Fatal,0,0,0,0,Other,1
194,2018-07-01 21:40:00,2018-07-01,21,7,2018,Sunday,-1.2046095,36.77569,Non-Fatal,0,0,0,0,Other,1
195,2018-07-01 23:56:00,2018-07-01,23,7,2018,Sunday,-1.3251365,36.8487345,Non-Fatal,0,0,0,0,Other,1
196,2018-07-02 05:23:00,2018-07-02,5,7,2018,Monday,-1.3301285,36.8709395,Non-Fatal,0,0,0,0,Other,1
197,2018-07-02 07:00:00,2018-07-02,7,7,2018,Monday,-1.227172,36.8858135,Non-Fatal,0,0,0,0,Other,1
198,2018-07-02 07:09:00,2018-07-02,7,7,2018,Monday,-1.477136,37.038044,Fatal,1,0,0,0,Other,1
199,2018-07-02 07:52:00,2018-07-02,7,7,2018,Monday,-1.3235715,36.8478045,Non-Fatal,0,0,0,0,Other,1
